DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2018-04-25,,,,,,,pH,,,6.88,None,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,"1-(3,4-dichlorophenyl)-3-methyl urea",,,,,Actual,Not Reported,0.0202,mg/L,Method Detection Level,,,,,Hisotrical method not provided,,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,"Alkalinity, total",,,,,Actual,Not Reported,3.16,mg/L,Method Detection Level,,,"1001: Alkalinity, pH, Conductivity",ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,Ammonia,as NH3,"Filtered, lab",,,Actual,Not Reported,0.021,mg/L,Method Detection Level,,,1161: Ammonia,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,"Chlorophyll a, pheophytin correction unspecified",,"Filtered, lab",,,Actual,Not Reported,,,,,,1100: Chlorophyll,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,Delta oxygen-18/oxygen-16,of H2O,,,,Actual,Not Reported,,,,,,,,Historical method not provided ,,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,"Deuterium, delta",of H2O,,,,Actual,Not Reported,,,,,,,,Historical method not provided ,,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,Nitrate,as N,"Filtered, lab",0.004,mg/L,Actual,,0.0073,mg/L,Method Detection Level,,,"1081: F, Cl, Nitrate, Sulphate",ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,Soluble Reactive Phosphorus (SRP),as P,"Filtered, lab",0.672,mg/L,Actual,,0.00567,mg/L,Method Detection Level,,,1191: Phosphorus,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,Sulfate,,"Filtered, lab",,,Actual,Not Reported,1.015,mg/L,Method Detection Level,,,"1081: F, Cl, Nitrate, Sulphate",ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,"Total Nitrogen, mixed forms",as N,"Filtered, lab",,,Actual,Not Reported,0.0447,mg/L,Method Detection Level,,,1151: Nitrogen,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,"Total Nitrogen, mixed forms",as N,Unfiltered,,,Actual,Not Reported,0.0447,mg/L,Method Detection Level,,,1151: Nitrogen,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,"Total Phosphorus, mixed forms",as P,"Filtered, lab",0.901,mg/L,Actual,,0.0041,mg/L,Method Detection Level,,,1191: Phosphorus,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,"Total Phosphorus, mixed forms",as P,"Filtered, lab",,,Actual,Not Reported,0.00567,mg/L,Method Detection Level,,,1191: Phosphorus,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,"Total Phosphorus, mixed forms",as P,Unfiltered,0.887,mg/L,Actual,,0.0041,mg/L,Method Detection Level,,,1191: Phosphorus,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,27A,27A,52.212664,-106.102209,NAD83,25,m,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2018-04-25,,,,,,,Conductivity,,,2202,uS/cm,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area,27A,27A,52.212664,-106.102209,NAD83,25,m,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2018-04-25,,,,,,,Dissolved oxygen (DO),,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area,27A,27A,52.212664,-106.102209,NAD83,25,m,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2018-04-25,,,,,,,"Temperature, water",,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area,27A,27A,52.212664,-106.102209,NAD83,25,m,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2018-04-25,,,,,,,pH,,,7.93,None,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area,27A,27A,52.212664,-106.102209,NAD83,25,m,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,"1-(3,4-dichlorophenyl)-3-methyl urea",,,,,Actual,Not Reported,0.0202,mg/L,Method Detection Level,,,,,Hisotrical method not provided,,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,27A,27A,52.212664,-106.102209,NAD83,25,m,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,"Alkalinity, total",,,,,Actual,Not Reported,3.16,mg/L,Method Detection Level,,,"1001: Alkalinity, pH, Conductivity",ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,27A,27A,52.212664,-106.102209,NAD83,25,m,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,Ammonia,as NH3,"Filtered, lab",,,Actual,Not Reported,0.021,mg/L,Method Detection Level,,,1161: Ammonia,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,27A,27A,52.212664,-106.102209,NAD83,25,m,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,"Chlorophyll a, pheophytin correction unspecified",,"Filtered, lab",,,Actual,Not Reported,,,,,,1100: Chlorophyll,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,27A,27A,52.212664,-106.102209,NAD83,25,m,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,Delta oxygen-18/oxygen-16,of H2O,,,,Actual,Not Reported,,,,,,,,Historical method not provided ,,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,27A,27A,52.212664,-106.102209,NAD83,25,m,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,"Deuterium, delta",of H2O,,,,Actual,Not Reported,,,,,,,,Historical method not provided ,,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,27A,27A,52.212664,-106.102209,NAD83,25,m,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,Nitrate,as N,"Filtered, lab",1.147,mg/L,Actual,,0.0073,mg/L,Method Detection Level,,,"1081: F, Cl, Nitrate, Sulphate",ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,27A,27A,52.212664,-106.102209,NAD83,25,m,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,Soluble Reactive Phosphorus (SRP),as P,"Filtered, lab",0.051,mg/L,Actual,,0.00567,mg/L,Method Detection Level,,,1191: Phosphorus,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,27A,27A,52.212664,-106.102209,NAD83,25,m,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,Sulfate,,"Filtered, lab",1046.65,mg/L,Actual,,1.015,mg/L,Method Detection Level,,,"1081: F, Cl, Nitrate, Sulphate",ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,27A,27A,52.212664,-106.102209,NAD83,25,m,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,"Total Nitrogen, mixed forms",as N,"Filtered, lab",,,Actual,Not Reported,0.0447,mg/L,Method Detection Level,,,1151: Nitrogen,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,27A,27A,52.212664,-106.102209,NAD83,25,m,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,"Total Nitrogen, mixed forms",as N,Unfiltered,,,Actual,Not Reported,0.0447,mg/L,Method Detection Level,,,1151: Nitrogen,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,27A,27A,52.212664,-106.102209,NAD83,25,m,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,"Total Phosphorus, mixed forms",as P,"Filtered, lab",,,Actual,Not Reported,0.00567,mg/L,Method Detection Level,,,1191: Phosphorus,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,27A,27A,52.212664,-106.102209,NAD83,25,m,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,"Total Phosphorus, mixed forms",as P,"Filtered, lab",0.254,mg/L,Actual,,0.0041,mg/L,Method Detection Level,,,1191: Phosphorus,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,27A,27A,52.212664,-106.102209,NAD83,25,m,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,"Total Phosphorus, mixed forms",as P,Unfiltered,0.263,mg/L,Actual,,0.0041,mg/L,Method Detection Level,,,1191: Phosphorus,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,59,59,52.20324998,-106.1068489,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2018-04-25,,,,,,,Conductivity,,,97.4,uS/cm,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area,59,59,52.20324998,-106.1068489,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2018-04-25,,,,,,,Dissolved oxygen (DO),,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area,59,59,52.20324998,-106.1068489,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2018-04-25,,,,,,,"Temperature, water",,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area,59,59,52.20324998,-106.1068489,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2018-04-25,,,,,,,pH,,,6.74,None,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area,59,59,52.20324998,-106.1068489,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,"1-(3,4-dichlorophenyl)-3-methyl urea",,,,,Actual,Not Reported,0.0202,mg/L,Method Detection Level,,,,,Hisotrical method not provided,,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,59,59,52.20324998,-106.1068489,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,"Alkalinity, total",,,,,Actual,Not Reported,3.16,mg/L,Method Detection Level,,,"1001: Alkalinity, pH, Conductivity",ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,59,59,52.20324998,-106.1068489,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,Ammonia,as NH3,"Filtered, lab",,,Actual,Not Reported,0.021,mg/L,Method Detection Level,,,1161: Ammonia,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,59,59,52.20324998,-106.1068489,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,"Chlorophyll a, pheophytin correction unspecified",,"Filtered, lab",,,Actual,Not Reported,,,,,,1100: Chlorophyll,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,59,59,52.20324998,-106.1068489,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,Delta oxygen-18/oxygen-16,of H2O,,,,Actual,Not Reported,,,,,,,,Historical method not provided ,,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,59,59,52.20324998,-106.1068489,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,"Deuterium, delta",of H2O,,,,Actual,Not Reported,,,,,,,,Historical method not provided ,,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,59,59,52.20324998,-106.1068489,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,Nitrate,as N,"Filtered, lab",0.009,mg/L,Actual,,0.0073,mg/L,Method Detection Level,,,"1081: F, Cl, Nitrate, Sulphate",ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,59,59,52.20324998,-106.1068489,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,Soluble Reactive Phosphorus (SRP),as P,"Filtered, lab",0.086,mg/L,Actual,,0.00567,mg/L,Method Detection Level,,,1191: Phosphorus,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,59,59,52.20324998,-106.1068489,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,Sulfate,,"Filtered, lab",,,Actual,Not Reported,1.015,mg/L,Method Detection Level,,,"1081: F, Cl, Nitrate, Sulphate",ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,59,59,52.20324998,-106.1068489,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,"Total Nitrogen, mixed forms",as N,"Filtered, lab",,,Actual,Not Reported,0.0447,mg/L,Method Detection Level,,,1151: Nitrogen,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,59,59,52.20324998,-106.1068489,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,"Total Nitrogen, mixed forms",as N,Unfiltered,,,Actual,Not Reported,0.0447,mg/L,Method Detection Level,,,1151: Nitrogen,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,59,59,52.20324998,-106.1068489,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,"Total Phosphorus, mixed forms",as P,"Filtered, lab",0.15,mg/L,Actual,,0.0041,mg/L,Method Detection Level,,,1191: Phosphorus,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,59,59,52.20324998,-106.1068489,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,"Total Phosphorus, mixed forms",as P,"Filtered, lab",,,Actual,Not Reported,0.00567,mg/L,Method Detection Level,,,1191: Phosphorus,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,59,59,52.20324998,-106.1068489,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-04-25,,,,,,,"Total Phosphorus, mixed forms",as P,Unfiltered,0.231,mg/L,Actual,,0.0041,mg/L,Method Detection Level,,,1191: Phosphorus,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2018-05-14,,,,,,,Conductivity,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2018-05-14,,,,,,,Dissolved oxygen (DO),,,9.53,mg/L,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2018-05-14,,,,,,,"Temperature, water",,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2018-05-14,,,,,,,pH,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-05-14,,,,,,,"1-(3,4-dichlorophenyl)-3-methyl urea",,,0.352,mg/L,Actual,,0.0202,mg/L,Method Detection Level,,,,,Hisotrical method not provided,,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Sample-Routine,Surface Water,2018-05-14,,,,,,,"Alkalinity, total",,,,,Actual,Not Reported,3.16,mg/L,Method Detection Level,,,"1001: Alkalinity, pH, Conductivity",ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",,,,"GIWS Lab, University of Saskatchewan",
